endTime,artistName,trackName,msPlayed,Language
6/10/20 13:57,Lana Del Rey,Doin' Time,202192,en
6/10/20 14:05,Sia,"Angel in Your Eyes (feat. Sia, Diplo, and Labrinth)",186120,en
6/10/20 14:07,ROSALÍA,Aute Cuture,147626,sk
6/10/20 14:11,Billie Eilish,xanny,243725,en
6/10/20 14:12,Harry Styles,Lights Up,24152,en
6/10/20 14:33,PRETTYMUCH,Solita (feat. Rich The Kid),17109,en
6/10/20 14:37,Billie Eilish,wish you were gay,221543,en
6/10/20 14:40,Billie Eilish,COPYCAT,51860,en
6/10/20 14:40,Billie Eilish,my strange addiction,179889,en
6/10/20 14:44,Billie Eilish,bury a friend,193143,en
6/10/20 14:47,Billie Eilish,bellyache,179172,en
6/10/20 14:50,Billie Eilish,hostage,229425,en
6/10/20 14:59,Billie Eilish,ocean eyes,200379,en
6/10/20 16:00,Billie Eilish,party favor,237406,en
6/10/20 16:03,Billie Eilish,8,173201,und
6/10/20 16:06,Billie Eilish,Six Feet Under,189613,en
6/10/20 16:09,Billie Eilish,&burn (with Vince Staples),179015,en
6/10/20 16:11,Billie Eilish,goodbye,119409,en
6/10/20 16:15,Billie Eilish,MyBoi - TroyBoi Remix,211304,en
6/10/20 16:18,Billie Eilish,when the party's over,196077,en
6/10/20 16:21,Billie Eilish,all the good girls go to hell,168839,en
6/10/20 17:54,Billie Eilish,Bored,180933,en
6/10/20 17:59,Billie Eilish,WHEN I WAS OLDER - Music Inspired By The Film ROMA,270519,en
6/10/20 18:02,Billie Eilish,bitches broken hearts,176471,en
6/10/20 18:15,Billie Eilish,listen before i go,242652,en
6/10/20 18:18,Billie Eilish,come out and play,210375,en
6/10/20 18:36,Billie Eilish,watch,177523,en
6/10/20 18:41,Billie Eilish,i love you,291796,en
6/10/20 18:44,Billie Eilish,idontwannabeyouanymore,203569,en
6/10/20 18:57,Billie Eilish,everything i wanted,245425,en
6/10/20 19:00,Billie Eilish,bellyache,179172,en
6/10/20 19:03,Billie Eilish,Six Feet Under - Jerry Folk Remix,200898,en
6/10/20 21:16,Billie Eilish,ilomilo,70189,sl
6/10/20 23:30,Pardon My Take,"Blake Griffin, Coach Duggs Chokes, And PFT’s Scott’s Tots",1166762,en
6/11/20 1:00,Dynoro,In My Mind,184560,en
6/11/20 3:18,H.E.R.,Best Part (feat. Daniel Caesar),209400,en
6/11/20 18:12,Arctic Monkeys,The Ultracheese,217720,en
6/11/20 18:16,Athletic Progression,WHITE CRAYON,271250,en
6/11/20 18:21,Kill Bill: The Rapper,Black Coffee,280553,en
6/11/20 18:25,Poppy Ajudha,David's Song - Tom Misch Remix,252000,en
6/11/20 18:28,Shy Lennox,Afterblunts,145354,de
6/11/20 19:28,Blu DeTiger,Figure It Out,78932,en
6/11/20 20:30,Mac Ayres,Get to You Again,263599,en
6/11/20 20:59,Blu DeTiger,Figure It Out,85624,en
6/11/20 21:02,Blu DeTiger,Figure It Out,164317,en
6/11/20 21:06,Kill Bill: The Rapper,Black Coffee,280553,en
6/11/20 21:11,Athletic Progression,WHITE CRAYON,271250,en
6/11/20 21:16,Poppy Ajudha,David's Song - Tom Misch Remix,252000,en
6/11/20 21:27,Arctic Monkeys,The Ultracheese,217720,en
6/11/20 21:29,Shy Lennox,Afterblunts,145354,de
6/11/20 21:33,Blu DeTiger,Figure It Out,136693,en
6/11/20 22:13,Pardon My Take,"Blake Griffin, Coach Duggs Chokes, And PFT’s Scott’s Tots",217322,en
6/11/20 22:18,J. Cole,G.O.M.D.,301133,en
6/11/20 22:22,Kendrick Lamar,A.D.H.D,215509,en
6/11/20 22:25,Mac Miller,Hands,199981,en
